"parcel","PC1","PC2","PC3"
"LH_DorsAttnA_SPL_4",-0.603951021547834,-0.569142908514322,0.0161811745703688
"LH_DorsAttnB_PostC_6",1.26640455391852,-0.0788721933758688,0.178355554644661
"LH_DefaultA_pCunPCC_8",3.37236297962449,-0.383683227330283,0.0907474067196958
"LH_SalVentAttnA_FrMed_2",3.98955801608269,0.630889876549063,0.596765155004198
"LH_ContC_Cingp_2",2.68996454687888,0.299608786198661,0.721809202154009
"LH_SalVentAttnA_ParMed_2",2.2515985539208,0.868154873514135,0.558205829438438
"LH_LimbicB_OFC_5",1.62172042605892,1.11979504453699,0.502192883939943
"LH_SalVentAttnA_Ins_1",2.52092579704053,-0.816669815731343,0.169200184203452
"LH_LimbicA_TempPole_9",3.86316884236104,-0.835326045721165,-0.28888192899152
"LH_DefaultB_Temp_5",-0.423128922538616,0.326870486877424,0.407029092046487
