"parcel","cortical_thickness","pial_lgi","sulcal_depth","cortical_surface_area","csf_thickness","skull_thickness","skin_thickness"
"RH_ContA_IPS_1",2.34554427827513,2.82433174169341,-1.10703604540999,0.736695302607015,7.14069783029168,5.96628769123277,6.99914009834445
"RH_ContA_IPS_2",2.49290877118679,2.88673080929286,0.399808932027105,0.756373070476186,13.263732591063,6.12635322779924,5.51810772342357
"RH_SomMotB_S2_7",3.21379257590777,3.8941925754496,3.83337291924847,0.753248824670551,19.0011208306688,4.95014212406353,8.29221594557366
"RH_SalVentAttnA_Ins_1",3.65678918230304,3.96116769642212,2.56893087659267,0.718504481735965,15.3452032341445,4.29813302581304,15.1881797780019
"RH_TempPar_1",3.11187587027739,3.27527604391534,-4.18944918281189,0.701730833049082,4.83936056432742,3.59260905036854,15.314841234391
"RH_VisPeri_StriCal_1",1.87610680419906,2.51867630414152,-3.25686535926966,0.59524750613008,25.1482441473586,9.49985937744017,5.54020024697308
"RH_VisPeri_ExStrInf_4",1.825156690767,2.47664841957624,-0.024469796282593,0.725343446282975,35.7746657394781,12.3745512796196,7.20064690885644
"RH_VisCent_ExStr_5",2.30209823816957,2.23601598362932,-3.04093034209788,0.662027489472906,9.05293042030408,8.50064477203898,6.71015916486237
"RH_TempPar_6",2.95045656503903,3.24066706084543,-2.97003578096903,0.728600657131109,7.79870402564605,3.67790057013432,9.61135743641191
"RH_ContB_PFCmp_1",3.32331713293768,1.8974741165805,-2.05317037453432,0.720755889157581,16.9982452676048,7.36249135861731,5.42090190798361
"RH_DefaultA_PFCd_3",2.84957491017263,2.31220742146903,-1.53610917298175,0.715639362641431,8.13315740987795,7.25501527961241,5.37037861937777
"RH_SalVentAttnB_PFCl_4",2.53663063647356,2.41625034729374,1.78640988910373,0.7363745143581,10.1063474548302,6.49194573558693,5.14816758704425
"RH_SalVentAttnA_ParMed_4",2.38127779817294,2.22243123398515,2.95180449721297,0.781292512803852,20.9846169007326,7.79452353536724,8.24959501331459
"RH_SalVentAttnA_ParMed_3",2.32623367866912,2.08796784691996,6.74374275021739,0.734659297435315,32.6177789068841,6.43571720494852,6.12562565989309
"RH_SomMotA_8",2.9406639302003,2.00184859299078,0.440447216857916,0.646502494488951,31.5472358197055,6.32429150837224,5.79460602530296
"RH_DorsAttnB_PostC_7",2.10496223765893,2.79376669093775,8.16689727285901,0.728237901250692,21.3336090795984,7.2293761625822,6.58458419828456
"RH_DorsAttnA_SPL_6",2.02397581369712,2.76293491803367,4.44877015710166,0.772412272362873,15.7830758649727,6.41631362561522,7.88845012722344
"RH_DorsAttnB_PostC_9",2.25643605319848,2.54305140199701,-3.0128551380298,0.645125409831172,7.60109987031527,6.7973168441323,7.8547699300972
"RH_SomMotB_Cent_2",2.47134745943902,3.49775522369057,-4.97963976415236,0.617165892593451,3.11803546948219,3.97605705839484,7.24349562267759
"RH_DorsAttnB_PostC_6",2.39773730053405,2.84971012572064,6.48450732446531,0.773133780160005,19.5783208530382,7.01366042078232,5.75154874683807
"RH_ContB_PFCld_4",2.93843686209022,3.05785957514811,-0.754043867387217,0.699680409414305,7.461235753638,4.57459133248821,4.62362148778902
"RH_ContA_PFCl_7",2.49738172989971,3.35313757747974,4.06263142242096,0.78296318636188,12.5361056462774,4.6604457373889,4.51623287965667
"RH_DorsAttnB_PrCv_1",2.79165253711941,3.61732593704672,-3.2132028073112,0.641528342024693,6.17091381523864,4.00964984343203,5.77218447064003
"RH_SalVentAttnA_Ins_4",2.89468544316923,4.49016032586575,8.16841739477853,0.788061185316606,25.4250717821549,4.08122966314213,10.471183928302
"RH_SomMotB_S2_5",3.28941444128998,4.50218114872609,-4.95219805470306,0.689957573147845,9.87332168098324,4.71098217392756,9.31408803522094
"RH_DefaultA_PFCm_3",2.46280400109876,1.96770976674654,1.02474774285765,0.73777130627827,13.9892067298577,6.52188970802266,6.94467622642621
"RH_DefaultA_PFCm_1",2.3927541077749,1.90782289730205,-0.177768967626903,0.780530257269098,11.3647150337329,5.14999721916794,6.75222332276848
"RH_DefaultA_pCunPCC_5",2.48602708104913,2.39065765970536,3.83738123938328,0.753634792247801,33.6419743654382,7.60542096982475,8.10883168773797
"RH_ContC_Cingp_1",2.23347087552614,2.24666219485512,-0.428010675523392,0.69170902284135,41.7455987187561,7.85676316234553,8.15681368836733
"RH_DorsAttnA_SPL_4",2.23338952202574,2.88212154862079,2.99585117136578,0.739720641902932,12.3754992325747,6.32249916051172,8.01170151589442
"RH_DorsAttnA_SPL_1",2.24063975124872,2.79526114414444,5.22754316448811,0.84423338614142,12.9021271178441,6.02840709982451,6.72820967719668
"RH_TempPar_10",2.97509988506189,3.19249367285311,4.04038361300076,0.710175829121236,12.9197434178899,4.7536218728912,7.65233479831996
"RH_TempPar_7",3.22389633382262,3.1413175089086,-0.587820589704128,0.747805792352428,9.2325850390634,3.6945811345172,7.99043904934005
"RH_DorsAttnA_ParOcc_2",2.59740050523979,3.13992303840363,7.87200882526639,0.761565467435352,16.2794341197989,4.9564772508421,6.88992823685072
"RH_VisCent_ExStr_12",2.41884226281179,2.6921612008125,0.55593909149172,0.685917564781543,6.92160704880279,5.51045003951405,6.15899147275346
"RH_DorsAttnB_PostC_1",2.79762758757617,3.16071452536025,-2.44878051783009,0.676606383678075,4.6281885493983,4.43297435249294,6.90114484499167
"RH_SalVentAttnB_IPL_3",2.76449736071984,2.97115623130489,-3.72254923189592,0.717082461364839,5.04868595127152,5.40189478271886,5.82857888816339
"RH_SalVentAttnB_IPL_1",2.85582150524086,3.11875959846616,-2.3045100730581,0.673883452855751,5.06383809104614,4.83773403632932,7.41389416485298
"RH_LimbicB_OFC_1",3.66383463861537,2.04121713667984,-3.8277738408429,0.66047862308154,4.76069147656073,4.56416612096842,7.80776307592748
"RH_LimbicA_TempPole_6",3.55270233341292,2.22547507870431,-1.69249916569314,0.737894407382198,2.37794106926014,8.3186239062571,6.36307903656773
"RH_VisCent_ExStr_4",2.57121275717433,2.32272966266532,1.33715960481626,0.694204885094718,18.1856275833876,9.03941124492727,6.81010203600499
"RH_VisPeri_ExStrInf_3",1.90574285055347,2.39813013989181,-2.0655068095364,0.642910488374141,20.4869075136467,11.3227550576108,6.04160545735805
"RH_LimbicA_TempPole_8",2.98934641629756,2.2802298413011,1.52689157905643,0.731607520747519,3.75344140878421,16.4875777957435,1.84817564039527
